year,pop1,comp1,pop50,comp50,orient
1991,1293514,269774153978.94,63103925,388187532230.37,left
1992,1343042,317115228919.18,63552841,406159282484.59,top
1993,1333898,313319211152.87,64364151,411228764767.70,bottom
1994,1337109,314079978039.78,65285669,428178835716.91,right
1995,1407857,356806202635.59,67105964,461926050080.93,left
1996,1389347,387150677569.81,68280428,492516434093.50,left
1997,1415731,440059839482.79,69674388,530880318626.98,left
1998,1511796,498287372678.85,70879866,565456386091.35,left
1999,1523434,560809475265.63,72530420,607098236081.99,left
2000,1574232,639686886562.25,74056884,651189768868.38,top
2001,1524520,596133868039.87,74141172,678165720650.76,left
2002,1523288,565138014757.11,74034528,686255231654.67,bottom
2003,1520695,579058233114.85,73861103,695871985852.85,right
2004,1536056,649433626693.25,74719376,728268145810.12,left
2005,1558299,706761232066.10,75801680,757617754169.35,left
2006,1770773,807746988279.44,76926367,794109073143.89,left
2007,1987705,924295416207.14,77785211,833732268310.06,left
2008,2045501,904812238415.99,77717281,861977323616.73,left
2009,1909874,788142377318.58,75458867,820813391225.32,bottom
2010,2080910,885712493218.06,75199398,819403893263.38,right
2011,2298618,972050239070.97,75690375,850963022470.56,top
2012,1608905,897849357391.82,76816145,886282558253.94,bottom
2013,1687884,898626624239.18,77886171,918281412982.58,right
2014,1855126,1009779658895.91,79093393,966361045465.69,left
2015,2024266,1093295894685.61,80397350,1024643029153.57,left
2016,2114217,1107062147884.08,81760303,1074097054840.19,bottom
2017,2282006,1218682399789.37,82719120,1131495355007.78,top
2018,1722604,1103940617008.42,83834663,1203664728488.60,bottom
2019,1882409,1191844321481.85,84664373,1277461689869.49,right
2020,2053627,1323827680672.20,83796986,1221744409196.32,top
